station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
BAE,8,1000,0.01,rbf,0.9417519181585676,0.0314740048067712,2,0.0324814796447753
BAE,8,1000,0.001,rbf,0.934377664109122,0.0391531398707638,5,0.016973328590393
BAE,9,10,scale,rbf,0.9389812446717818,0.0256391381579491,2,0.0176195859909057
BAE,9,10,0.01,rbf,0.9316496163682864,0.0170928842641438,6,0.0160592794418334
BAE,9,10,0.001,rbf,0.8908780903665814,0.0267893572474966,9,0.019039511680603
BAE,9,100,scale,rbf,0.9331841432225064,0.0304667127811683,4,0.0182329893112182
BAE,9,100,0.01,rbf,0.9345694799658992,0.0225644852743098,3,0.0148646354675292
BAE,9,100,0.001,rbf,0.9199914748508098,0.0206515470543247,7,0.0204182624816894
BAE,9,1000,scale,rbf,0.902621483375959,0.0287460727209645,8,0.0349312305450439
BAE,9,1000,0.01,rbf,0.9447783461210572,0.0272828833258141,1,0.0382084608078002
BAE,9,1000,0.001,rbf,0.93307757885763,0.0185446490821986,5,0.0179271221160888
BAE,10,10,scale,rbf,0.9389173060528556,0.0201704020942103,2,0.0164984226226806
BAE,10,10,0.01,rbf,0.93307757885763,0.0205957794632104,6,0.0177349090576171
BAE,10,10,0.001,rbf,0.9038789428815004,0.0300451040816793,9,0.0221783399581909
BAE,10,100,scale,rbf,0.941773231031543,0.0195437534450359,1,0.0193533897399902
BAE,10,100,0.01,rbf,0.9359761295822676,0.0196190060518287,4,0.0152836799621582
BAE,10,100,0.001,rbf,0.9228900255754476,0.0233098532196172,7,0.0163132667541503
BAE,10,1000,scale,rbf,0.9184143222506396,0.0300970367906778,8,0.0347358226776123
BAE,10,1000,0.01,rbf,0.9373827791986358,0.018626231668576,3,0.0448156118392944
BAE,10,1000,0.001,rbf,0.9345055413469736,0.0148255659578581,5,0.0209016323089599
BAT,1,10,scale,rbf,0.911795918367347,0.0449585676261905,3,0.0129157781600952
BAT,1,10,0.01,rbf,0.9077142857142858,0.0434069495047293,5,0.0135821104049682
BAT,1,10,0.001,rbf,0.8736734693877551,0.0361547186657461,9,0.0170016050338745
BAT,1,100,scale,rbf,0.9018367346938776,0.0372875629268157,6,0.0241940975189208
BAT,1,100,0.01,rbf,0.915795918367347,0.0388703673260232,2,0.0162912845611572
BAT,1,100,0.001,rbf,0.919795918367347,0.0347640347071682,1,0.0150680303573608
BAT,1,1000,scale,rbf,0.887795918367347,0.033637432788954,8,0.0367613792419433
BAT,1,1000,0.01,rbf,0.8977959183673467,0.0442216973587001,7,0.0355087041854858
BAT,1,1000,0.001,rbf,0.9117551020408164,0.0459588211824614,4,0.0182452201843261
BAT,2,10,scale,rbf,0.917877551020408,0.0288226853133323,3,0.017405891418457
BAT,2,10,0.01,rbf,0.917877551020408,0.0273997662156337,3,0.0150430679321289
BAT,2,10,0.001,rbf,0.8896734693877552,0.0461910452511207,8,0.0181099891662597
BAT,2,100,scale,rbf,0.9198367346938776,0.0282885118032329,2,0.0180909395217895
BAT,2,100,0.01,rbf,0.917877551020408,0.0314761368130109,3,0.0146482944488525
BAT,2,100,0.001,rbf,0.9219183673469388,0.0383386996829281,1,0.0140253067016601
BAT,2,1000,scale,rbf,0.8717551020408163,0.0499261595533521,9,0.0264133691787719
BAT,2,1000,0.01,rbf,0.907795918367347,0.0240757170181393,7,0.0300809860229492
BAT,2,1000,0.001,rbf,0.9098367346938776,0.0325111456875822,6,0.0183840990066528
BAT,3,10,scale,rbf,0.9158367346938776,0.0149309670682333,4,0.0132038354873657
BAT,3,10,0.01,rbf,0.9158367346938776,0.0279809538363628,5,0.0161317348480224
